x,y,chromosome
16050202,0.7486,22
16050402,0.4718,22
16050602,0.2646,22
16050802,0.4454,22
16051002,0.3658,22
16051202,0.4978,22
16051402,0.4157,22
16051602,0.369,22
16051802,0.1641,22
16052002,0.5871,22
16052202,0.7242,22
16052402,0.6724,22
16052602,0.6704,22
16053002,0.6606,22
16053202,0.6408,22
16053402,0.3999,22
16053602,0.2978,22
16053802,0.682,22
16054202,0.3742,22
16054402,0.7679,22
16054602,0.2273,22
16054802,0.73,22
16055002,0.3867,22
16055202,0.5702,22
16055402,0.7384,22
16055602,0.3617,22
16056002,0.6327,22
16056202,0.4334,22
16056402,0.4119,22
16056602,0.801,22
16056802,0.2268,22
16057002,0.8032,22
16057202,0.8972,22
16057402,0.4253,22
16057602,0.4261,22
16057802,0.7612,22
16058002,0.6543,22
16058402,0.1348,22
16058602,0.5639,22
16058802,0.1741,22
16059002,0.7653,22
16059202,0.3972,22
16059402,0.433,22
16059602,0.4567,22
16059802,0.4327,22
16060002,0.6583,22
16060202,0.682,22
16060402,0.6333,22
16060602,0.3247,22
16060802,0.2986,22
16061002,0.6982,22
16061202,0.8245,22
16061402,0.376,22
16061602,0.3895,22
16062202,0.6106,22
16062402,0.2054,22
16062602,0.523,22
16063402,0.5049,22
16063602,0.4301,22
16064002,0.8991,22
16064202,0.4369,22
16064402,0.7011,22
16064602,0.1508,22
16064802,0.8763,22
16065002,0.8866,22
16065202,0.8017,22
16065402,0.7277,22
16065802,0.6075,22
16066002,0.2661,22
16066402,0.2549,22
16066602,0.2804,22
16066802,0.5775,22
16067002,0.4623,22
16067202,0.7068,22
16067402,0.7857,22
16067602,0.3653,22
16067802,0.608,22
16068802,0.8248,22
16069002,0.8326,22
16069202,0.3956,22
16069402,0.4854,22
16069802,0.5517,22
16070002,0.2188,22
16070202,0.7278,22
16070402,0.328,22
16070802,0.81,22
16071002,0.2898,22
16071202,0.514,22
16071602,0.1864,22
16071802,0.5434,22
16072202,0.7253,22
16073202,0.203,22
16073402,0.2767,22
16073802,0.6451,22
16074002,0.7832,22
16074202,0.7864,22
16076402,0.5203,22
16078602,0.5186,22
16078802,0.276,22
16079402,0.6951,22
16079602,0.738,22
16079802,0.9087,22
16080002,0.3344,22
16080202,0.8414,22
16080402,0.1829,22
16081202,0.3374,22
16081602,0.3057,22
16082402,0.2775,22
16084802,0.3355,22
16085202,0.4659,22
16085402,0.7009,22
16085602,0.7831,22
16087202,0.3034,22
16087402,0.1306,22
16087602,0.455,22
16087802,0.2467,22
16088202,0.3877,22
16088602,0.2614,22
16088802,0.7316,22
16089002,0.1809,22
16091802,0.5455,22
16093602,0.5083,22
16096002,0.3208,22
16096202,0.7085,22
16096402,0.4842,22
16096602,0.691,22
16096802,0.8924,22
16097002,0.6547,22
16097202,0.3206,22
16097402,0.8165,22
16097802,0.6408,22
16098002,0.241,22
16098202,0.127,22
16098402,0.3527,22
16098602,0.1333,22
16100002,0.8184,22
16101802,0.7548,22
16102002,0.7552,22
16102402,0.3902,22
16103202,0.3634,22
16105002,0.3598,22
16105402,0.272,22
16105802,0.6138,22
16106202,0.8473,22
16106402,0.2612,22
16107002,0.2357,22
16107202,0.7868,22
16108002,0.3932,22
16110802,0.4505,22
16112602,0.746,22
16112802,0.6286,22
16113002,0.7863,22
16113202,0.7842,22
16113602,0.8748,22
16113802,0.2539,22
16114002,0.615,22
16114202,0.5902,22
16114402,0.5902,22
16114602,0.6678,22
16114802,0.7402,22
16115202,0.4347,22
16115402,0.1599,22
16115602,0.3544,22
16115802,0.2427,22
16116002,0.4543,22
16116202,0.6842,22
16116402,0.6626,22
16116602,0.796,22
16116802,0.4505,22
16117002,0.5448,22
16117202,0.2607,22
16117802,0.408,22
16118802,0.7874,22
16119802,0.2547,22
16120002,0.6557,22
16120202,0.2325,22
16120402,0.683,22
16120602,0.7641,22
16120802,0.4852,22
16121002,0.1627,22
16121402,0.6293,22
16121602,0.1629,22
16122002,0.1963,22
16122202,0.2042,22
16122602,0.3892,22
16122802,0.8987,22
16123202,0.7089,22
16123602,0.7158,22
16124002,0.8997,22
16124202,0.8689,22
16126402,0.5214,22
16127402,0.5311,22
16127802,0.5052,22
16128002,0.8488,22
16129202,0.4926,22
16130002,0.5418,22
16130202,0.5172,22
16130402,0.746,22
16130602,0.8155,22
16131602,0.5222,22
16132002,0.3901,22
16133202,0.6409,22
16133602,0.7087,22
16133802,0.901,22
16134002,0.9014,22
16135402,0.5763,22
16135602,0.3645,22
16135802,0.445,22
16136002,0.3959,22
16136202,0.2951,22
16136402,0.3821,22
16136602,0.1581,22
16136802,0.6144,22
